title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
Justitia [Redemption],sl9,001003eb7179ba8a1c169175fd1aa0f0,1334a43c53c2efa83051b0bb21ec303d2a07557e98153f69405822e63f7861fc,0.331,0.689,7.456,True
爽昧夢想ラバーズ [SP INSANE],sl4,0030e052e7271ff136d9d6ccaebd3659,c29f36d2688bbc0f235fdfce626e1b71a9c4085e024f3a56da5f5d0380bd3d2a,-0.709,-0.053,6.088,True
dolls wish... [EX],st4,003cdfadaf22dade9cccd3ae0d814317,bc6d6644cbdf9901e740dad0e503356157feb44429c10ecbe0d28423d8f154cb,1.877,2.567,4.185,True
NS20 [7key CHAOSDEATH],sl10,0076b2ce2cee05999a524712c128740f,089c220a2428410bc16f2047d7d96626360801bc4021512be082e9a39b48be03,0.369,0.884,4.466,True
IDOLL [DOLLISH],sl6,0083f9de62f737c85c99e962074fb07a,ebf4e332aeaabfaed2862ba8dcceaca46009c3678d0114f4d98f2a31bc2acbc8,-0.011,0.319,4.707,True
乙女ノススメ！ [リアリティー],sl11,00b68a814511e9e1e1e5cb163825c76d,c6c21e96672fd3904464e840b36aea8ccac48bde5ae48e3518ad22324d19ca9f,0.650,0.905,8.952,True
Ancient Memory [MASTER],st3,00bce21870fbde432759b6f401b7c0fe,1a7b8581b2ba648b8a7946ee4f398af988e367eafc7e72e0beb1d24b1c4b8b69,1.804,2.213,4.519,True
Luna Express 2032 [Star Rail],st3,00f4e7507eb94918364d0c714161aad1,02ee7d032116f33cd992025664f0653075149677bd5fcad178325693170ffac2,1.242,2.246,3.786,True
sweet pop [not sweet],st4,00fc1a4e00ecc77789cbc822962c3eed,f5faf5f37f25c396e94b87af6cb711d7ac311de99a4e08d4de1bbfeb9e7fe5ef,1.769,2.307,4.149,True
わがまま×マニフェスト [EX],sl3,00fe8868d0c7c88aaa1c76152cd73ce3,2503cb23cb9ffd3e9e25ad806c7cc39053b4928023fb159ad4647b49853f09d4,-0.746,-0.149,3.973,True
mom [insane],sl3,010492dbce773e39992651ce11a146d5,641e7c6275a5eae0b5b89f0d1ff82b6ac4dbd407a5ca9f49daec1aefc0322b63,-0.614,-0.053,4.998,True
ERIS MX,sl1,0108ff92119d48e0ca0e2eae1f3dffbf,9f0e12898c9f62766e6d9ae5e666af8f6f2ba01225dfe9fdbbc8bfec0483b077,-1.396,-0.617,2.668,True
Lapis [World Extend],sl10,010d5e5f5225616215c1b365f68a604b,2f9bdf0affba1c29b0df6870a9f58961ca37335c39ed94cf31cab7577d75d479,0.406,0.781,10.019,True
