title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
ネコイチ(Lemon beads Remix) [Castor],st8,000ea160740d2bb27d0c0f5a14159f4f,6d00c418b106f2e3fb2726d02f3323e70be0be8a501395e1e2f9f6568b97729f,1.977,4.252,1.615,True
dolls wish... [EX],st4,003cdfadaf22dade9cccd3ae0d814317,bc6d6644cbdf9901e740dad0e503356157feb44429c10ecbe0d28423d8f154cb,0.841,1.684,3.369,True
Ancient Memory [MASTER],st3,00bce21870fbde432759b6f401b7c0fe,1a7b8581b2ba648b8a7946ee4f398af988e367eafc7e72e0beb1d24b1c4b8b69,0.727,1.197,4.456,True
Luna Express 2032 [Star Rail],st3,00f4e7507eb94918364d0c714161aad1,02ee7d032116f33cd992025664f0653075149677bd5fcad178325693170ffac2,0.009,1.252,3.107,True
sweet pop [not sweet],st4,00fc1a4e00ecc77789cbc822962c3eed,f5faf5f37f25c396e94b87af6cb711d7ac311de99a4e08d4de1bbfeb9e7fe5ef,0.713,1.316,4.213,True
Celestial Axes  -Genocide-,st5,01873b044711a754ec884afe5469d3cf,a786b81343789bc2241d0957b1b4e8a86e7e47fa59aeebf143d91eb820c679c1,0.888,1.915,3.561,True
Kafig [Trennung_fixed],st2,01d6ea667d9d87c4d5a7e939adb80647,5cc0bd8dfbf2657fd2ad2f7a9eb8a8945424192064af2a9fc21bb3bb0a816029,0.105,0.724,4.635,True
Agilion [OVERJOY],st6,01d9ea966de753dee21609a2b69a68e0,8e15ff6049dfc3dd127d6576fcbe040c3ec50c17c1103969d5d81b89213d78ec,0.989,2.071,4.454,True
HOOKER [Gratte Ciel],st1,01e0d67a5ba44cd57168ede127bfba3c,3c7643fd163be823fda722c89e0b3ed9db33497468293dbeb586f3b49952cb24,-0.379,0.095,3.879,True
Icyxis [SUMMIT],st6,01ece23ddfa61274bf4838795ff72a5f,68055006ca4b322fc2666c2a021a2a44e351a9f969fa136e23a9931ffca90b89,1.175,2.271,2.424,True
Buuuuuuurstraffic [Other],st9,02580b5c353eac65db38470fee32bd4f,09ca3c2b352dda20162fcff0f1557ee6c3d1cca69ac104974442d9ac1a2e8249,1.896,5.488,0.878,True
Flavor [Hexagon],st4,02a2aee824b3d0bb1c1d55022f8e8d5c,2e432127da80bbcae1fbc63d61ad106134ed3e347a5dbfddedbbbb0c0011a7d9,1.059,1.703,2.688,True
endemize [triumph],st5,02a3f3b4707f863469ac7c67e12e9365,515e7fe7402ac01f06a3a88922c0b7dde6fcc79acef3495ed3041b007ad83d5e,0.801,2.413,3.163,True
Angel's Salad [REALISM],st3,02fd0a7beaded078d6c68ae4480c5908,b7e0f2b0772fa491466c597b94d47696dce4a48d41eba39f28a881d6657a0ad5,0.026,0.821,4.027,True
Romantic Children [死の少女],st10,03278f98734a370dfd340a766318f22f,1c0555d5c9a26ffcee9885b6f957fa30ae67b57cd025b4e8c095a3220f87e31c,2.703,4.737,3.153,True
Lapis -The Heavens Remix- [Reminiscence],st2,035eec9c7964ebea27c4163def2453d1,ff923c98d8d7707fab65514c843532fab5ee77db21681a41dfc6dca9b7bb274c,-0.172,0.632,3.192,True
４２２ [Cupido],st9,0397367543e53c1aa02daa037d886b99,7ea0dea0839e45c154604e76b053351c48e46aba550ef8626c0dcd16908b7b06,1.903,6.031,1.318,True
Signager (mania7),st2,040e60aa93b5541a64a931c8c25f401c,76cb19dec68b444ac4821a3170be394565863ced5c9df09056c8018e111cdfd4,-0.413,0.294,2.709,True
Deublithick (CosmoCramp7),st11,0466e59234c1e5998b1e114d38bf858a,05cb40e5a7dd487e9d545ed8d1ebc4e4b879edeccbaa59b9066a8b8cf4983fac,3.253,4.253,1.803,True
Alicia Story,st7,048a48b58695b98537fd0a33ef1d17fd,992942784954ba42a02a73b5ee42f247d8486a571f4149c576fa6cf11c6758cb,1.753,2.418,2.322,True
Deublithick [INFELNO],st4,049accd5306faaa7c668fab8b17e10e1,8e5b47522c32dd82f3485167b8f9bcdc5cdc3b86f9c9c797eb9661bf3afe5d4f,0.665,1.418,3.132,True
SAKURAnightmare [LostPetals],st1,04a3d255faa0debb2c3c22841aaafec8,78725fa17a2aaf2767477df3b6ed2e1bb8031f91c44a0fe38a7b297f0d0236f3,-0.280,0.450,3.508,True
cold planet [Hexagon],st3,04c5a8befa2174379f4e1cfa32c94c17,8b34f1083dd453029e9a77b172045f81aa5ea7612884669fe566a199e4364fe5,0.149,0.891,3.722,True
"Crimson Liar(""Sadistic girl"" Mix) -Nightmare-",st4,04e3d569f934712e5511ddd69983d49c,67090c0a2f1b26daeeb243e54e95ef6339c5c248098b9fe8a1ca1769aef6f1bf,0.946,1.786,3.268,True
Luv of Magical Delay,st2,04e71234b0ae37587c6725ada4179c08,b9aa918f5944db705f7970fe3d67ca6ced42bc33b5b1ba28031cf8222dc78278,-0.132,0.198,4.083,True
Demystify Burst [BLAST],st0,054252c80fe3962826909cfc517f18e9,a92cae940ebf845a0adbb75164648277a1d379c2aa846bef0ea04157547fa559,-0.824,-0.235,4.840,True
dolorosa melodia　 -EX-,st1,058166279df278ff728ff04067a83aa3,2bb2c17a2fa55a89606c5c55a0c72c94e383479abbf09574f4241d4fd0032a1a,-0.146,0.505,4.774,True
The Grinder [God],st2,05a453b0d8777d9233827b79c4987438,60358203fe615817511db6078b5e940176c0c2a84cc4a7fe531d1a49ac3f53d7,-0.480,0.534,4.090,True
リクロスフェイト [INSANE],st6,05e493cef2ff307aba146c8cb3be8ddd,8c0cf37c0a97fc90223169448a4937b6b107af82a7bb1cdbd6b2684d9775d0d8,1.036,1.825,2.870,True
MIGHTY OBSTACLE,st0,05f93d54b6a4441b38ec5b3312aa19f1,7e56e7e36726b3fdd532454c5bb406ee4128d8b3fc29f383ec2e2e296fc91b89,-0.820,-0.251,4.589,True
CODE-F -soar to the Frontier- [地力],st3,0638c5aaa79a3d748eb6d49f9d6ad1b2,e5cae5b5a724098717a81211bc148547551815e6d5f87fcb59f043c1b66c9c8e,0.295,1.087,4.616,True
T.S : Terminal Strike [GOD],st1,0662edd19b430266883c92a0345e54ba,ac3169d0da3787d2cf6bb7f7dc9a15436ebf59f451c5cd3a08d3366deeda0f26,-0.360,0.498,4.003,True
Written in the stars [Stellarum],st1,06991c7bdc221d6edc030fcfed2bd934,816fbedd5bf432c0acace921641e31ca3cdc09c9368d6134b36883618d7cf20c,-0.465,0.334,3.940,True
Alice in Misanthrope -厭世アリス- [INSANE],st1,06bce609c001cfd7ecf1b28a513b9a6c,eb5200dfdacb755f22f33a2e98d84eceb444d68a7cac6416f18545daf71a9c09,-0.360,0.428,2.998,True
8bit Adventurer [Epilogue],st2,07254a7724162b02312aadea3cb76433,af00c9343c1428ffd77898e8a341d96aceacc58708d6ed8531379663554b671b,-0.041,0.953,5.059,True
Falling in LOVE -非実在ラヴ-,st2,07731f244734236f90893c71d9652873,08beb9a91a8b77781be92c4a346da2c0e4dea93c725ca48c1f0e691ee9883cc3,0.157,0.559,5.191,True
夢、幻。 [INFERNO],st1,080f9c36fca8e43b7fe686254404b851,c36439440600312125f135a37c6f540a9617f90b632995c1da060d3ec9a69c44,-0.572,0.012,4.852,True
LaT [Buster],st8,086d4722e83aeaa818342a989335d31b,75c74cade02667e2a4e01f20ce9ae27773be5aa14bcbbe74626eb7304cda8677,1.706,4.034,1.459,True
Disorder -Despair-,st2,087f77e584f4d0e3cca833e4a868ab19,78bb67cd838086cdf6ef71c219a45abcbd3f3b2c18f53908ee844a7067e12f11,-0.562,0.447,5.666,True
Wicked plot [^v^],st5,0891e141ced4a92903459947e234f296,75bd1c77ad8b5b4c67725db6b70d56b3dee919a08c072905ff640e0d6baa2ae2,1.169,2.265,3.415,True
Tears of the Sunrise [No More Tears],st7,08e499d3c49724fee3b1335708e4f208,15c9584a5c897dd7ef17117e2553b31b4168c41dff05d79b9fcaeb3ff4255b11,1.993,3.174,2.546,True
Luv 5 Dancer [Last Dancer],st7,08f05f4a70d1e98e8f381fd17a7163e7,cb71972d841893b7d4b32472b83dad45d4f0791794995d8aea44636cd84ced57,1.695,2.544,4.608,True
Materialize Anything [Ground Fissure],st0,091e742ab34187cb2cc63f461f1a80ca,f72201de1aeddcefd8da6220be0ddb8ea9def7cf8cedb6928baffaf186f23fba,-1.028,-0.433,4.459,True
BRAIN BREAKER [INCENTIVE],st4,092512fc826da66f52b9144b9632a4a3,da0008287b02adda42295a8cbbfc572f0931d32116a03207b6fb8a6d983525e2,0.774,1.932,3.461,True
squartatrice,st2,093528a97ffd1b755a9ffbe8a483c218,3928078cba47cb2cfcf759b7cb9ea687861981f274d2bf1a6a3dafd412840b07,0.047,1.125,4.158,True
DiSASTER UNiT : CODE_NAME_666 [There is no reason],st4,09515c9ba455064d63883cab5f01f079,15950d0ceefb016310db1ee0403f6950fc1bec1c62fce54a83d9cd5213391c8f,0.423,1.727,3.548,True
Calamity Fortune [INFERNO],st4,096087f9fec3c8f065912682314e3496,ff2f8d4421b133a35731d46c03cce5671e6cdcc0b0bc35d8ef4629259bc7c0ec,0.653,1.290,3.832,True
